序号,起始SOC(%),结束SOC(%),SOC增量(%),预测时长(分钟),预测时长(小时)
1983,22,36,14,13.88,0.231
1984,22,37,15,13.88,0.231
1985,22,38,16,13.88,0.231
1986,22,39,17,13.88,0.231
1987,22,40,18,18.05,0.301
1988,22,41,19,18.05,0.301
1989,22,42,20,18.05,0.301
1990,22,43,21,18.05,0.301
1991,22,44,22,18.05,0.301
1992,22,45,23,18.14,0.302
1993,22,46,24,18.14,0.302
1994,22,47,25,18.14,0.302
1995,22,48,26,18.14,0.302
1996,22,49,27,18.14,0.302
1997,22,50,28,20.86,0.348
1998,22,51,29,20.86,0.348
1999,22,52,30,20.86,0.348
2000,22,53,31,20.86,0.348
2001,22,54,32,20.86,0.348
2002,22,55,33,30.99,0.517
2003,22,56,34,30.99,0.517
2004,22,57,35,30.99,0.517
2005,22,58,36,30.99,0.517
2006,22,59,37,30.99,0.517
2007,22,60,38,33.35,0.556
2008,22,61,39,33.35,0.556
2009,22,62,40,33.35,0.556
2010,22,63,41,33.35,0.556
2011,22,64,42,33.35,0.556
2012,22,65,43,37.04,0.617
2013,22,66,44,37.04,0.617
2014,22,67,45,37.04,0.617
2015,22,68,46,37.04,0.617
2016,22,69,47,37.04,0.617
2017,22,70,48,40.93,0.682
2018,22,71,49,40.93,0.682
2019,22,72,50,40.93,0.682
2020,22,73,51,40.93,0.682
2021,22,74,52,40.93,0.682
2022,22,75,53,42.12,0.702
2023,22,76,54,42.12,0.702
2024,22,77,55,42.12,0.702
2025,22,78,56,42.12,0.702
2026,22,79,57,42.12,0.702
2027,22,80,58,42.04,0.701
2028,22,81,59,42.04,0.701
2029,22,82,60,42.04,0.701
2030,22,83,61,42.04,0.701
2031,22,84,62,42.04,0.701
2032,22,85,63,45.49,0.758
2033,22,86,64,45.49,0.758
2034,22,87,65,45.49,0.758
2035,22,88,66,45.49,0.758
2036,22,89,67,45.49,0.758
2037,22,90,68,45.49,0.758
2038,22,91,69,46.2,0.77
2039,22,92,70,46.2,0.77
2040,22,93,71,49.23,0.821
2041,22,94,72,49.23,0.821
2042,22,95,73,49.23,0.821
2043,22,96,74,49.23,0.821
2044,22,97,75,49.23,0.821
2045,22,98,76,51.37,0.856
2046,22,99,77,51.37,0.856
2047,22,100,78,52.02,0.867
2048,23,24,1,7.94,0.132
2049,23,25,2,7.94,0.132
2050,23,26,3,7.94,0.132
2051,23,27,4,7.94,0.132
2052,23,28,5,7.94,0.132
2053,23,29,6,7.94,0.132
2054,23,30,7,7.94,0.132
2055,23,31,8,7.8,0.13
2056,23,32,9,7.8,0.13
2057,23,33,10,7.8,0.13
2058,23,34,11,7.8,0.13
2059,23,35,12,7.8,0.13
2060,23,36,13,13.88,0.231
2061,23,37,14,13.88,0.231
2062,23,38,15,13.88,0.231
2063,23,39,16,13.88,0.231
2064,23,40,17,13.88,0.231
2065,23,41,18,18.05,0.301
2066,23,42,19,18.05,0.301
2067,23,43,20,18.05,0.301
2068,23,44,21,18.05,0.301
2069,23,45,22,18.05,0.301
2070,23,46,23,18.14,0.302
2071,23,47,24,18.14,0.302
2072,23,48,25,18.14,0.302
2073,23,49,26,18.14,0.302
2074,23,50,27,18.14,0.302
2075,23,51,28,20.86,0.348
2076,23,52,29,20.86,0.348
2077,23,53,30,20.86,0.348
2078,23,54,31,20.86,0.348
2079,23,55,32,20.86,0.348
2080,23,56,33,30.99,0.517
2081,23,57,34,30.99,0.517
2082,23,58,35,30.99,0.517
2083,23,59,36,30.99,0.517
2084,23,60,37,30.99,0.517
2085,23,61,38,33.35,0.556
2086,23,62,39,33.35,0.556
2087,23,63,40,33.35,0.556
2088,23,64,41,33.35,0.556
2089,23,65,42,33.35,0.556
2090,23,66,43,37.04,0.617
2091,23,67,44,37.04,0.617
2092,23,68,45,37.04,0.617
2093,23,69,46,37.04,0.617
2094,23,70,47,37.04,0.617
2095,23,71,48,40.93,0.682
2096,23,72,49,40.93,0.682
2097,23,73,50,40.93,0.682
2098,23,74,51,40.93,0.682
2099,23,75,52,40.93,0.682
2100,23,76,53,42.12,0.702
2101,23,77,54,42.12,0.702
2102,23,78,55,42.12,0.702
2103,23,79,56,42.12,0.702
2104,23,80,57,42.12,0.702
2105,23,81,58,42.04,0.701
2106,23,82,59,42.04,0.701
2107,23,83,60,42.04,0.701
2108,23,84,61,42.04,0.701
2109,23,85,62,42.04,0.701
2110,23,86,63,45.49,0.758
2111,23,87,64,45.49,0.758
2112,23,88,65,45.49,0.758
2113,23,89,66,45.49,0.758
2114,23,90,67,45.49,0.758
2115,23,91,68,46.2,0.77
2116,23,92,69,46.2,0.77
2117,23,93,70,49.23,0.821
2118,23,94,71,49.23,0.821
2119,23,95,72,49.23,0.821
2120,23,96,73,49.23,0.821
2121,23,97,74,49.23,0.821
2122,23,98,75,51.37,0.856
2123,23,99,76,51.37,0.856
2124,23,100,77,52.02,0.867
2125,24,25,1,7.94,0.132
2126,24,26,2,7.94,0.132
2127,24,27,3,7.94,0.132
2128,24,28,4,7.94,0.132
2129,24,29,5,7.94,0.132
2130,24,30,6,7.94,0.132
2131,24,31,7,7.94,0.132
2132,24,32,8,7.8,0.13
2133,24,33,9,7.8,0.13
2134,24,34,10,7.8,0.13
2135,24,35,11,7.8,0.13
2136,24,36,12,7.8,0.13
2137,24,37,13,13.88,0.231
2138,24,38,14,13.88,0.231
2139,24,39,15,13.88,0.231
2140,24,40,16,13.88,0.231
2141,24,41,17,13.88,0.231
2142,24,42,18,18.05,0.301
2143,24,43,19,18.05,0.301
2144,24,44,20,18.05,0.301
2145,24,45,21,18.05,0.301
2146,24,46,22,18.05,0.301
2147,24,47,23,18.14,0.302
2148,24,48,24,18.14,0.302
2149,24,49,25,18.14,0.302
2150,24,50,26,18.14,0.302
2151,24,51,27,18.14,0.302
2152,24,52,28,20.86,0.348
2153,24,53,29,20.86,0.348
2154,24,54,30,20.86,0.348
2155,24,55,31,20.86,0.348
2156,24,56,32,20.86,0.348
2157,24,57,33,30.99,0.517
2158,24,58,34,30.99,0.517
2159,24,59,35,30.99,0.517
2160,24,60,36,30.99,0.517
2161,24,61,37,30.99,0.517
2162,24,62,38,33.35,0.556
2163,24,63,39,33.35,0.556
2164,24,64,40,33.35,0.556
2165,24,65,41,33.35,0.556
2166,24,66,42,33.35,0.556
2167,24,67,43,37.04,0.617
2168,24,68,44,37.04,0.617
2169,24,69,45,37.04,0.617
2170,24,70,46,37.04,0.617
2171,24,71,47,37.04,0.617
2172,24,72,48,40.93,0.682
2173,24,73,49,40.93,0.682
2174,24,74,50,40.93,0.682
2175,24,75,51,40.93,0.682
2176,24,76,52,40.93,0.682
2177,24,77,53,42.12,0.702
2178,24,78,54,42.12,0.702
2179,24,79,55,42.12,0.702
2180,24,80,56,42.12,0.702
2181,24,81,57,42.12,0.702
2182,24,82,58,42.04,0.701
2183,24,83,59,42.04,0.701
2184,24,84,60,42.04,0.701
2185,24,85,61,42.04,0.701
2186,24,86,62,42.04,0.701
2187,24,87,63,45.49,0.758
2188,24,88,64,45.49,0.758
2189,24,89,65,45.49,0.758
2190,24,90,66,45.49,0.758
2191,24,91,67,46.2,0.77
2192,24,92,68,46.2,0.77
2193,24,93,69,49.23,0.821
2194,24,94,70,49.23,0.821
2195,24,95,71,49.23,0.821
2196,24,96,72,49.23,0.821
2197,24,97,73,49.23,0.821
2198,24,98,74,51.37,0.856
2199,24,99,75,51.37,0.856
2200,24,100,76,52.02,0.867
2201,25,26,1,7.94,0.132
2202,25,27,2,7.94,0.132
2203,25,28,3,7.94,0.132
2204,25,29,4,7.94,0.132
2205,25,30,5,7.94,0.132
2206,25,31,6,7.94,0.132
2207,25,32,7,7.94,0.132
2208,25,33,8,7.8,0.13
2209,25,34,9,7.8,0.13
2210,25,35,10,7.8,0.13
2211,25,36,11,7.8,0.13
2212,25,37,12,7.8,0.13
2213,25,38,13,13.88,0.231
2214,25,39,14,13.88,0.231
2215,25,40,15,13.88,0.231
2216,25,41,16,13.88,0.231
2217,25,42,17,13.88,0.231
2218,25,43,18,18.05,0.301
2219,25,44,19,18.05,0.301
2220,25,45,20,18.05,0.301
2221,25,46,21,18.05,0.301
2222,25,47,22,18.05,0.301
2223,25,48,23,18.14,0.302
2224,25,49,24,18.14,0.302
2225,25,50,25,18.14,0.302
2226,25,51,26,18.14,0.302
2227,25,52,27,18.14,0.302
2228,25,53,28,20.86,0.348
2229,25,54,29,20.86,0.348
2230,25,55,30,20.86,0.348
2231,25,56,31,20.86,0.348
2232,25,57,32,20.86,0.348
2233,25,58,33,30.99,0.517
2234,25,59,34,30.99,0.517
2235,25,60,35,30.99,0.517
2236,25,61,36,30.99,0.517
2237,25,62,37,30.99,0.517
2238,25,63,38,33.35,0.556
2239,25,64,39,33.35,0.556
2240,25,65,40,33.35,0.556
2241,25,66,41,33.35,0.556
2242,25,67,42,33.35,0.556
2243,25,68,43,37.04,0.617
2244,25,69,44,37.04,0.617
2245,25,70,45,37.04,0.617
2246,25,71,46,37.04,0.617
2247,25,72,47,37.04,0.617
2248,25,73,48,40.93,0.682
2249,25,74,49,40.93,0.682
2250,25,75,50,40.93,0.682
2251,25,76,51,40.93,0.682
2252,25,77,52,40.93,0.682
2253,25,78,53,42.12,0.702
2254,25,79,54,42.12,0.702
2255,25,80,55,42.12,0.702
2256,25,81,56,42.12,0.702
2257,25,82,57,42.12,0.702
2258,25,83,58,42.04,0.701
2259,25,84,59,42.04,0.701
2260,25,85,60,42.04,0.701
2261,25,86,61,42.04,0.701
2262,25,87,62,42.04,0.701
2263,25,88,63,45.49,0.758
2264,25,89,64,45.49,0.758
2265,25,90,65,45.49,0.758
2266,25,91,66,46.2,0.77
2267,25,92,67,46.2,0.77
2268,25,93,68,49.23,0.821
2269,25,94,69,49.23,0.821
2270,25,95,70,49.23,0.821
2271,25,96,71,49.23,0.821
2272,25,97,72,49.23,0.821
2273,25,98,73,51.37,0.856
2274,25,99,74,51.37,0.856
2275,25,100,75,52.02,0.867
2276,26,27,1,7.94,0.132
2277,26,28,2,7.94,0.132
2278,26,29,3,7.94,0.132
2279,26,30,4,7.94,0.132
2280,26,31,5,7.94,0.132
2281,26,32,6,7.94,0.132
2282,26,33,7,7.94,0.132
2283,26,34,8,7.8,0.13
2284,26,35,9,7.8,0.13
2285,26,36,10,7.8,0.13
2286,26,37,11,7.8,0.13
2287,26,38,12,7.8,0.13
2288,26,39,13,13.88,0.231
2289,26,40,14,13.88,0.231
2290,26,41,15,13.88,0.231
2291,26,42,16,13.88,0.231
2292,26,43,17,13.88,0.231
2293,26,44,18,18.05,0.301
2294,26,45,19,18.05,0.301
2295,26,46,20,18.05,0.301
2296,26,47,21,18.05,0.301
2297,26,48,22,18.05,0.301
2298,26,49,23,18.14,0.302
2299,26,50,24,18.14,0.302
2300,26,51,25,18.14,0.302
2301,26,52,26,18.14,0.302
2302,26,53,27,18.14,0.302
2303,26,54,28,20.86,0.348
2304,26,55,29,20.86,0.348
2305,26,56,30,20.86,0.348
2306,26,57,31,20.86,0.348
2307,26,58,32,20.86,0.348
2308,26,59,33,30.99,0.517
2309,26,60,34,30.99,0.517
2310,26,61,35,30.99,0.517
2311,26,62,36,30.99,0.517
2312,26,63,37,30.99,0.517
2313,26,64,38,33.35,0.556
2314,26,65,39,33.35,0.556
2315,26,66,40,33.35,0.556
2316,26,67,41,33.35,0.556
2317,26,68,42,33.35,0.556
2318,26,69,43,37.04,0.617
2319,26,70,44,37.04,0.617
2320,26,71,45,37.04,0.617
2321,26,72,46,37.04,0.617
2322,26,73,47,37.04,0.617
2323,26,74,48,40.93,0.682
2324,26,75,49,40.93,0.682
2325,26,76,50,40.93,0.682
2326,26,77,51,40.93,0.682
2327,26,78,52,40.93,0.682
2328,26,79,53,42.12,0.702
2329,26,80,54,42.12,0.702
2330,26,81,55,42.12,0.702
2331,26,82,56,42.12,0.702
2332,26,83,57,42.12,0.702
2333,26,84,58,42.04,0.701
2334,26,85,59,42.04,0.701
2335,26,86,60,42.04,0.701
2336,26,87,61,42.04,0.701
2337,26,88,62,42.71,0.712
2338,26,89,63,45.49,0.758
2339,26,90,64,45.49,0.758
2340,26,91,65,46.2,0.77
2341,26,92,66,46.2,0.77
2342,26,93,67,49.23,0.821
2343,26,94,68,49.23,0.821
2344,26,95,69,49.23,0.821
2345,26,96,70,49.23,0.821
2346,26,97,71,49.23,0.821
2347,26,98,72,51.37,0.856
2348,26,99,73,51.37,0.856
2349,26,100,74,52.02,0.867
2350,27,28,1,7.94,0.132
2351,27,29,2,7.94,0.132
2352,27,30,3,7.94,0.132
2353,27,31,4,7.94,0.132
2354,27,32,5,7.94,0.132
2355,27,33,6,7.94,0.132
2356,27,34,7,7.94,0.132
2357,27,35,8,7.8,0.13
2358,27,36,9,7.8,0.13
2359,27,37,10,7.8,0.13
2360,27,38,11,7.8,0.13
2361,27,39,12,7.8,0.13
2362,27,40,13,13.88,0.231
2363,27,41,14,13.88,0.231
2364,27,42,15,13.88,0.231
2365,27,43,16,13.88,0.231
2366,27,44,17,13.88,0.231
2367,27,45,18,18.05,0.301
2368,27,46,19,18.05,0.301
2369,27,47,20,18.05,0.301
2370,27,48,21,18.05,0.301
2371,27,49,22,18.05,0.301
2372,27,50,23,18.14,0.302
2373,27,51,24,18.14,0.302
2374,27,52,25,18.14,0.302
2375,27,53,26,18.14,0.302
2376,27,54,27,18.14,0.302
2377,27,55,28,20.86,0.348
2378,27,56,29,20.86,0.348
2379,27,57,30,20.86,0.348
2380,27,58,31,20.86,0.348
2381,27,59,32,20.86,0.348
2382,27,60,33,30.99,0.517
2383,27,61,34,30.99,0.517
2384,27,62,35,30.99,0.517
2385,27,63,36,30.99,0.517
2386,27,64,37,30.99,0.517
2387,27,65,38,33.35,0.556
2388,27,66,39,33.35,0.556
2389,27,67,40,33.35,0.556
2390,27,68,41,33.35,0.556
2391,27,69,42,33.35,0.556
2392,27,70,43,37.04,0.617
2393,27,71,44,37.04,0.617
2394,27,72,45,37.04,0.617
2395,27,73,46,37.04,0.617
2396,27,74,47,37.04,0.617
2397,27,75,48,40.93,0.682
2398,27,76,49,40.93,0.682
2399,27,77,50,40.93,0.682
2400,27,78,51,40.93,0.682
2401,27,79,52,40.93,0.682
2402,27,80,53,42.12,0.702
2403,27,81,54,42.12,0.702
2404,27,82,55,42.12,0.702
2405,27,83,56,42.12,0.702
2406,27,84,57,42.12,0.702
2407,27,85,58,42.04,0.701
2408,27,86,59,42.04,0.701
2409,27,87,60,42.04,0.701
2410,27,88,61,42.71,0.712
2411,27,89,62,42.71,0.712
2412,27,90,63,45.49,0.758
2413,27,91,64,46.2,0.77
2414,27,92,65,46.2,0.77
2415,27,93,66,49.23,0.821
2416,27,94,67,49.23,0.821
2417,27,95,68,49.23,0.821
2418,27,96,69,49.23,0.821
2419,27,97,70,49.23,0.821
2420,27,98,71,51.37,0.856
2421,27,99,72,51.37,0.856
2422,27,100,73,52.02,0.867
2423,28,29,1,7.94,0.132
2424,28,30,2,7.94,0.132
2425,28,31,3,7.94,0.132
2426,28,32,4,7.94,0.132
2427,28,33,5,7.94,0.132
2428,28,34,6,7.94,0.132
2429,28,35,7,7.94,0.132
2430,28,36,8,7.8,0.13
2431,28,37,9,7.8,0.13
2432,28,38,10,7.8,0.13
2433,28,39,11,7.8,0.13
2434,28,40,12,7.8,0.13
2435,28,41,13,13.88,0.231
2436,28,42,14,13.88,0.231
2437,28,43,15,13.88,0.231
2438,28,44,16,13.88,0.231
2439,28,45,17,13.88,0.231
2440,28,46,18,18.05,0.301
2441,28,47,19,18.05,0.301
2442,28,48,20,18.05,0.301
2443,28,49,21,18.05,0.301
2444,28,50,22,18.05,0.301
2445,28,51,23,18.8,0.313
2446,28,52,24,18.8,0.313
2447,28,53,25,18.8,0.313
2448,28,54,26,18.8,0.313
2449,28,55,27,18.8,0.313
2450,28,56,28,21.53,0.359
2451,28,57,29,21.53,0.359
2452,28,58,30,21.53,0.359
2453,28,59,31,21.53,0.359
2454,28,60,32,21.53,0.359
2455,28,61,33,30.99,0.517
2456,28,62,34,30.99,0.517
2457,28,63,35,30.99,0.517
2458,28,64,36,30.99,0.517
2459,28,65,37,30.99,0.517
2460,28,66,38,33.35,0.556
2461,28,67,39,33.35,0.556
2462,28,68,40,33.35,0.556
2463,28,69,41,33.35,0.556
2464,28,70,42,33.35,0.556
2465,28,71,43,37.04,0.617
2466,28,72,44,37.04,0.617
2467,28,73,45,37.04,0.617
2468,28,74,46,37.04,0.617
2469,28,75,47,37.04,0.617
2470,28,76,48,40.93,0.682
2471,28,77,49,40.93,0.682
2472,28,78,50,40.93,0.682
2473,28,79,51,40.93,0.682
2474,28,80,52,41.23,0.687
2475,28,81,53,43.16,0.719
2476,28,82,54,43.16,0.719
2477,28,83,55,43.16,0.719
2478,28,84,56,43.16,0.719
2479,28,85,57,43.16,0.719
2480,28,86,58,43.08,0.718
2481,28,87,59,43.08,0.718
2482,28,88,60,43.75,0.729
2483,28,89,61,43.75,0.729
2484,28,90,62,43.75,0.729
2485,28,91,63,46.87,0.781
2486,28,92,64,46.87,0.781
2487,28,93,65,48.6,0.81
2488,28,94,66,48.6,0.81
2489,28,95,67,48.6,0.81
2490,28,96,68,48.6,0.81
2491,28,97,69,48.6,0.81
2492,28,98,70,49.74,0.829
2493,28,99,71,49.74,0.829
2494,28,100,72,50.39,0.84
2495,29,30,1,7.94,0.132
2496,29,31,2,7.94,0.132
2497,29,32,3,7.94,0.132
2498,29,33,4,7.94,0.132
2499,29,34,5,7.94,0.132
2500,29,35,6,7.94,0.132
2501,29,36,7,7.94,0.132
2502,29,37,8,7.8,0.13
2503,29,38,9,7.8,0.13
2504,29,39,10,7.8,0.13
2505,29,40,11,7.8,0.13
2506,29,41,12,7.8,0.13
2507,29,42,13,13.88,0.231
2508,29,43,14,13.88,0.231
2509,29,44,15,13.88,0.231
2510,29,45,16,13.88,0.231
2511,29,46,17,13.88,0.231
2512,29,47,18,18.05,0.301
2513,29,48,19,18.05,0.301
2514,29,49,20,18.05,0.301
2515,29,50,21,18.05,0.301
2516,29,51,22,18.05,0.301
2517,29,52,23,18.8,0.313
2518,29,53,24,18.8,0.313
2519,29,54,25,18.8,0.313
2520,29,55,26,18.8,0.313
2521,29,56,27,18.8,0.313
2522,29,57,28,21.53,0.359
2523,29,58,29,21.53,0.359
2524,29,59,30,21.53,0.359
2525,29,60,31,21.53,0.359
2526,29,61,32,21.53,0.359
2527,29,62,33,30.99,0.517
2528,29,63,34,30.99,0.517
2529,29,64,35,30.99,0.517
2530,29,65,36,30.99,0.517
2531,29,66,37,30.99,0.517
2532,29,67,38,33.35,0.556
2533,29,68,39,33.35,0.556
2534,29,69,40,33.35,0.556
2535,29,70,41,33.35,0.556
2536,29,71,42,33.35,0.556
2537,29,72,43,37.04,0.617
2538,29,73,44,37.04,0.617
2539,29,74,45,37.04,0.617
2540,29,75,46,37.04,0.617
2541,29,76,47,37.04,0.617
2542,29,77,48,40.93,0.682
2543,29,78,49,40.93,0.682
2544,29,79,50,40.93,0.682
2545,29,80,51,41.23,0.687
2546,29,81,52,41.23,0.687
2547,29,82,53,43.16,0.719
2548,29,83,54,43.16,0.719
2549,29,84,55,43.16,0.719
2550,29,85,56,43.16,0.719
2551,29,86,57,43.16,0.719
2552,29,87,58,43.08,0.718
2553,29,88,59,43.75,0.729
2554,29,89,60,43.75,0.729
2555,29,90,61,43.75,0.729
2556,29,91,62,44.45,0.741
2557,29,92,63,46.87,0.781
2558,29,93,64,48.6,0.81
2559,29,94,65,48.6,0.81
2560,29,95,66,48.6,0.81
2561,29,96,67,48.6,0.81
2562,29,97,68,48.6,0.81
2563,29,98,69,49.74,0.829
2564,29,99,70,49.74,0.829
2565,29,100,71,50.39,0.84
2566,30,31,1,7.94,0.132
2567,30,32,2,7.94,0.132
2568,30,33,3,7.94,0.132
2569,30,34,4,7.94,0.132
2570,30,35,5,7.94,0.132
2571,30,36,6,7.94,0.132
2572,30,37,7,7.94,0.132
2573,30,38,8,7.8,0.13
2574,30,39,9,7.8,0.13
2575,30,40,10,7.8,0.13
2576,30,41,11,7.8,0.13
2577,30,42,12,7.8,0.13
2578,30,43,13,13.88,0.231
2579,30,44,14,13.88,0.231
2580,30,45,15,13.88,0.231
2581,30,46,16,13.88,0.231
2582,30,47,17,13.88,0.231
2583,30,48,18,18.05,0.301
2584,30,49,19,18.05,0.301
2585,30,50,20,18.05,0.301
2586,30,51,21,18.05,0.301
2587,30,52,22,18.05,0.301
2588,30,53,23,18.8,0.313
2589,30,54,24,18.8,0.313
2590,30,55,25,18.8,0.313
2591,30,56,26,18.8,0.313
2592,30,57,27,18.8,0.313
2593,30,58,28,21.53,0.359
2594,30,59,29,21.53,0.359
2595,30,60,30,21.53,0.359
2596,30,61,31,21.53,0.359
2597,30,62,32,21.53,0.359
2598,30,63,33,30.99,0.517
2599,30,64,34,30.99,0.517
2600,30,65,35,30.99,0.517
2601,30,66,36,30.99,0.517
2602,30,67,37,30.99,0.517
2603,30,68,38,33.35,0.556
2604,30,69,39,33.35,0.556
2605,30,70,40,33.35,0.556
2606,30,71,41,33.35,0.556
2607,30,72,42,33.35,0.556
2608,30,73,43,37.04,0.617
2609,30,74,44,37.04,0.617
2610,30,75,45,37.04,0.617
2611,30,76,46,37.04,0.617
2612,30,77,47,37.04,0.617
2613,30,78,48,40.93,0.682
2614,30,79,49,40.93,0.682
2615,30,80,50,41.23,0.687
2616,30,81,51,41.23,0.687
2617,30,82,52,41.23,0.687
2618,30,83,53,43.16,0.719
2619,30,84,54,43.16,0.719
2620,30,85,55,43.16,0.719
2621,30,86,56,43.16,0.719
2622,30,87,57,43.16,0.719
2623,30,88,58,43.75,0.729
2624,30,89,59,43.75,0.729
2625,30,90,60,43.75,0.729
2626,30,91,61,44.45,0.741
2627,30,92,62,44.45,0.741
2628,30,93,63,48.6,0.81
2629,30,94,64,48.6,0.81
2630,30,95,65,48.6,0.81
2631,30,96,66,48.6,0.81
2632,30,97,67,48.6,0.81
2633,30,98,68,49.74,0.829
2634,30,99,69,49.74,0.829
2635,30,100,70,50.39,0.84
2636,31,32,1,7.94,0.132
2637,31,33,2,7.94,0.132
2638,31,34,3,7.94,0.132
2639,31,35,4,7.94,0.132
2640,31,36,5,7.94,0.132
2641,31,37,6,7.94,0.132
2642,31,38,7,7.94,0.132
2643,31,39,8,7.8,0.13
2644,31,40,9,7.8,0.13
2645,31,41,10,7.8,0.13
2646,31,42,11,7.8,0.13
2647,31,43,12,7.8,0.13
2648,31,44,13,13.88,0.231
2649,31,45,14,13.88,0.231
2650,31,46,15,13.88,0.231
2651,31,47,16,13.88,0.231
2652,31,48,17,14.46,0.241
2653,31,49,18,18.05,0.301
2654,31,50,19,18.05,0.301
2655,31,51,20,18.05,0.301
2656,31,52,21,18.05,0.301
2657,31,53,22,18.05,0.301
2658,31,54,23,21.28,0.355
2659,31,55,24,21.28,0.355
2660,31,56,25,21.28,0.355
2661,31,57,26,21.28,0.355
2662,31,58,27,21.28,0.355
2663,31,59,28,23.28,0.388
2664,31,60,29,23.28,0.388
2665,31,61,30,23.28,0.388
2666,31,62,31,23.28,0.388
2667,31,63,32,23.28,0.388
2668,31,64,33,30.99,0.517
2669,31,65,34,30.99,0.517
2670,31,66,35,30.99,0.517
2671,31,67,36,30.99,0.517
2672,31,68,37,30.99,0.517
2673,31,69,38,33.35,0.556
2674,31,70,39,33.35,0.556
2675,31,71,40,33.35,0.556
2676,31,72,41,33.35,0.556
2677,31,73,42,33.96,0.566
2678,31,74,43,37.04,0.617
2679,31,75,44,37.04,0.617
2680,31,76,45,37.04,0.617
2681,31,77,46,37.04,0.617
2682,31,78,47,37.78,0.63
2683,31,79,48,40.93,0.682
2684,31,80,49,41.23,0.687
2685,31,81,50,41.23,0.687
2686,31,82,51,41.23,0.687
2687,31,83,52,41.23,0.687
2688,31,84,53,43.16,0.719
2689,31,85,54,43.16,0.719
2690,31,86,55,43.16,0.719
2691,31,87,56,43.16,0.719
2692,31,88,57,43.83,0.73
2693,31,89,58,43.75,0.729
2694,31,90,59,43.75,0.729
2695,31,91,60,44.45,0.741
2696,31,92,61,44.45,0.741
2697,31,93,62,46.18,0.77
2698,31,94,63,48.6,0.81
2699,31,95,64,48.6,0.81
2700,31,96,65,48.6,0.81
2701,31,97,66,48.6,0.81
2702,31,98,67,49.74,0.829
2703,31,99,68,49.74,0.829
2704,31,100,69,50.39,0.84
2705,32,33,1,7.94,0.132
2706,32,34,2,7.94,0.132
2707,32,35,3,7.94,0.132
2708,32,36,4,7.94,0.132
2709,32,37,5,7.94,0.132
2710,32,38,6,7.94,0.132
2711,32,39,7,7.94,0.132
2712,32,40,8,7.8,0.13
2713,32,41,9,7.8,0.13
2714,32,42,10,7.8,0.13
2715,32,43,11,7.8,0.13
2716,32,44,12,7.8,0.13
2717,32,45,13,13.88,0.231
2718,32,46,14,13.88,0.231
2719,32,47,15,13.88,0.231
2720,32,48,16,14.46,0.241
2721,32,49,17,14.46,0.241
2722,32,50,18,18.05,0.301
2723,32,51,19,18.05,0.301
2724,32,52,20,18.05,0.301
2725,32,53,21,18.05,0.301
2726,32,54,22,18.05,0.301
2727,32,55,23,21.28,0.355
2728,32,56,24,21.28,0.355
2729,32,57,25,21.28,0.355
2730,32,58,26,21.28,0.355
2731,32,59,27,21.28,0.355
2732,32,60,28,23.28,0.388
2733,32,61,29,23.28,0.388
2734,32,62,30,23.28,0.388
2735,32,63,31,23.28,0.388
2736,32,64,32,23.28,0.388
2737,32,65,33,30.99,0.517
2738,32,66,34,30.99,0.517
2739,32,67,35,30.99,0.517
2740,32,68,36,30.99,0.517
2741,32,69,37,30.99,0.517
2742,32,70,38,33.35,0.556
2743,32,71,39,33.35,0.556
2744,32,72,40,33.35,0.556
2745,32,73,41,33.96,0.566
2746,32,74,42,33.96,0.566
2747,32,75,43,37.04,0.617
2748,32,76,44,37.04,0.617
2749,32,77,45,37.04,0.617
2750,32,78,46,37.78,0.63
2751,32,79,47,37.78,0.63
2752,32,80,48,41.23,0.687
2753,32,81,49,41.23,0.687
2754,32,82,50,41.23,0.687
2755,32,83,51,41.23,0.687
2756,32,84,52,41.23,0.687
2757,32,85,53,43.16,0.719
2758,32,86,54,43.16,0.719
2759,32,87,55,43.16,0.719
2760,32,88,56,43.83,0.73
2761,32,89,57,43.83,0.73
2762,32,90,58,43.75,0.729
2763,32,91,59,44.45,0.741
2764,32,92,60,44.45,0.741
2765,32,93,61,46.18,0.77
2766,32,94,62,46.18,0.77
2767,32,95,63,48.6,0.81
2768,32,96,64,48.6,0.81
2769,32,97,65,48.6,0.81
2770,32,98,66,49.74,0.829
2771,32,99,67,49.74,0.829
2772,32,100,68,50.39,0.84
2773,33,34,1,7.94,0.132
2774,33,35,2,7.94,0.132
2775,33,36,3,7.94,0.132
2776,33,37,4,7.94,0.132
2777,33,38,5,7.94,0.132
2778,33,39,6,7.94,0.132
2779,33,40,7,7.94,0.132
2780,33,41,8,7.8,0.13
2781,33,42,9,7.8,0.13
2782,33,43,10,7.8,0.13
2783,33,44,11,7.8,0.13
2784,33,45,12,7.8,0.13
2785,33,46,13,13.88,0.231
2786,33,47,14,13.88,0.231
2787,33,48,15,14.46,0.241
2788,33,49,16,14.46,0.241
2789,33,50,17,14.46,0.241
2790,33,51,18,18.05,0.301
2791,33,52,19,18.05,0.301
2792,33,53,20,18.05,0.301
2793,33,54,21,18.05,0.301
2794,33,55,22,18.05,0.301
2795,33,56,23,22.42,0.374
2796,33,57,24,22.42,0.374
2797,33,58,25,22.42,0.374
2798,33,59,26,22.42,0.374
2799,33,60,27,22.42,0.374
2800,33,61,28,24.43,0.407
2801,33,62,29,24.43,0.407
2802,33,63,30,24.43,0.407
